state_id,eavs_unit_name,eavs_unit_code,name
47,JOHNSON COUNTY,4709100000,Johnson
47,KNOX COUNTY,4709300000,Knox
47,LAKE COUNTY,4709500000,Lake
47,LAUDERDALE COUNTY,4709700000,Lauderdale
47,LAWRENCE COUNTY,4709900000,Lawrence
47,LEWIS COUNTY,4710100000,Lewis
47,LINCOLN COUNTY,4710300000,Lincoln
47,LOUDON COUNTY,4710500000,Loudon
47,MCMINN COUNTY,4710700000,Mcminn
47,MCNAIRY COUNTY,4710900000,Mcnairy
47,MACON COUNTY,4711100000,Macon
47,MADISON COUNTY,4711300000,Madison
47,MARION COUNTY,4711500000,Marion
47,MARSHALL COUNTY,4711700000,Marshall
47,MAURY COUNTY,4711900000,Maury
47,MEIGS COUNTY,4712100000,Meigs
47,MONROE COUNTY,4712300000,Monroe
47,MONTGOMERY COUNTY,4712500000,Montgomery
47,MOORE COUNTY,4712700000,Moore
47,MORGAN COUNTY,4712900000,Morgan
47,OBION COUNTY,4713100000,Obion
47,OVERTON COUNTY,4713300000,Overton
47,PERRY COUNTY,4713500000,Perry
47,PICKETT COUNTY,4713700000,Pickett
47,POLK COUNTY,4713900000,Polk
47,PUTNAM COUNTY,4714100000,Putnam
47,RHEA COUNTY,4714300000,Rhea
47,ROANE COUNTY,4714500000,Roane
47,ROBERTSON COUNTY,4714700000,Robertson
47,RUTHERFORD COUNTY,4714900000,Rutherford
47,SCOTT COUNTY,4715100000,Scott
47,SEQUATCHIE COUNTY,4715300000,Sequatchie
47,SEVIER COUNTY,4715500000,Sevier
47,SHELBY COUNTY,4715700000,Shelby
47,SMITH COUNTY,4715900000,Smith
47,STEWART COUNTY,4716100000,Stewart
47,SULLIVAN COUNTY,4716300000,Sullivan
47,SUMNER COUNTY,4716500000,Sumner
47,TIPTON COUNTY,4716700000,Tipton
47,TROUSDALE COUNTY,4716900000,Trousdale
47,UNICOI COUNTY,4717100000,Unicoi
47,UNION COUNTY,4717300000,Union
47,VAN BUREN COUNTY,4717500000,Van Buren
47,WARREN COUNTY,4717700000,Warren
47,WASHINGTON COUNTY,4717900000,Washington
47,WAYNE COUNTY,4718100000,Wayne
47,WEAKLEY COUNTY,4718300000,Weakley
47,WHITE COUNTY,4718500000,White
47,WILLIAMSON COUNTY,4718700000,Williamson
47,WILSON COUNTY,4718900000,Wilson
48,ANDERSON COUNTY,4800100000,Anderson
48,ANDREWS COUNTY,4800300000,Andrews
48,ANGELINA COUNTY,4800500000,Angelina
48,ARANSAS COUNTY,4800700000,Aransas
48,ARCHER COUNTY,4800900000,Archer
48,ARMSTRONG COUNTY,4801100000,Armstrong
48,ATASCOSA COUNTY,4801300000,Atascosa
48,AUSTIN COUNTY,4801500000,Austin
48,BAILEY COUNTY,4801700000,Bailey
48,BANDERA COUNTY,4801900000,Bandera
48,BASTROP COUNTY,4802100000,Bastrop
48,BAYLOR COUNTY,4802300000,Baylor
48,BEE COUNTY,4802500000,Bee
48,BELL COUNTY,4802700000,Bell
48,BEXAR COUNTY,4802900000,Bexar
48,BLANCO COUNTY,4803100000,Blanco
48,BORDEN COUNTY,4803300000,Borden
48,BOSQUE COUNTY,4803500000,Bosque
48,BOWIE COUNTY,4803700000,Bowie
48,BRAZORIA COUNTY,4803900000,Brazoria
48,BRAZOS COUNTY,4804100000,Brazos
48,BREWSTER COUNTY,4804300000,Brewster
48,BRISCOE COUNTY,4804500000,Briscoe
48,BROOKS COUNTY,4804700000,Brooks
48,BROWN COUNTY,4804900000,Brown
48,BURLESON COUNTY,4805100000,Burleson
48,BURNET COUNTY,4805300000,Burnet
48,CALDWELL COUNTY,4805500000,Caldwell
48,CALHOUN COUNTY,4805700000,Calhoun
48,CALLAHAN COUNTY,4805900000,Callahan
48,CAMERON COUNTY,4806100000,Cameron
48,CAMP COUNTY,4806300000,Camp
48,CARSON COUNTY,4806500000,Carson
48,CASS COUNTY,4806700000,Cass
48,CASTRO COUNTY,4806900000,Castro
48,CHAMBERS COUNTY,4807100000,Chambers
48,CHEROKEE COUNTY,4807300000,Cherokee
48,CHILDRESS COUNTY,4807500000,Childress
48,CLAY COUNTY,4807700000,Clay
48,COCHRAN COUNTY,4807900000,Cochran
48,COKE COUNTY,4808100000,Coke
48,COLEMAN COUNTY,4808300000,Coleman
48,COLLIN COUNTY,4808500000,Collin
48,COLLINGSWORTH COUNTY,4808700000,Collingsworth
48,COLORADO COUNTY,4808900000,Colorado
48,COMAL COUNTY,4809100000,Comal
48,COMANCHE COUNTY,4809300000,Comanche
48,CONCHO COUNTY,4809500000,Concho
48,COOKE COUNTY,4809700000,Cooke
48,CORYELL COUNTY,4809900000,Coryell
48,COTTLE COUNTY,4810100000,Cottle
48,CRANE COUNTY,4810300000,Crane
48,CROCKETT COUNTY,4810500000,Crockett
48,CROSBY COUNTY,4810700000,Crosby
48,CULBERSON COUNTY,4810900000,Culberson
48,DALLAM COUNTY,4811100000,Dallam
48,DALLAS COUNTY,4811300000,Dallas
48,DAWSON COUNTY,4811500000,Dawson
48,DEAF SMITH COUNTY,4811700000,Deaf Smith
48,DELTA COUNTY,4811900000,Delta
48,DENTON COUNTY,4812100000,Denton
48,DEWITT COUNTY,4812300000,Dewitt
48,DICKENS COUNTY,4812500000,Dickens
48,DIMMIT COUNTY,4812700000,Dimmit
48,DONLEY COUNTY,4812900000,Donley
48,DUVAL COUNTY,4813100000,Duval
48,EASTLAND COUNTY,4813300000,Eastland
48,ECTOR COUNTY,4813500000,Ector
48,EDWARDS COUNTY,4813700000,Edwards
48,ELLIS COUNTY,4813900000,Ellis
48,EL PASO COUNTY,4814100000,El Paso
48,ERATH COUNTY,4814300000,Erath
48,FALLS COUNTY,4814500000,Falls
48,FANNIN COUNTY,4814700000,Fannin
48,FAYETTE COUNTY,4814900000,Fayette
48,FISHER COUNTY,4815100000,Fisher
48,FLOYD COUNTY,4815300000,Floyd
48,FOARD COUNTY,4815500000,Foard
48,FORT BEND COUNTY,4815700000,Fort Bend
48,FRANKLIN COUNTY,4815900000,Franklin
48,FREESTONE COUNTY,4816100000,Freestone
48,FRIO COUNTY,4816300000,Frio
48,GAINES COUNTY,4816500000,Gaines
48,GALVESTON COUNTY,4816700000,Galveston
48,GARZA COUNTY,4816900000,Garza
48,GILLESPIE COUNTY,4817100000,Gillespie
48,GLASSCOCK COUNTY,4817300000,Glasscock
48,GOLIAD COUNTY,4817500000,Goliad
48,GONZALES COUNTY,4817700000,Gonzales
48,GRAY COUNTY,4817900000,Gray
48,GRAYSON COUNTY,4818100000,Grayson
48,GREGG COUNTY,4818300000,Gregg
48,GRIMES COUNTY,4818500000,Grimes
48,GUADALUPE COUNTY,4818700000,Guadalupe
