state_id,region_id,year,device_model_id,quantity
8,0811300000,2024,19,3
8,0811500000,2024,19,3
8,0811700000,2024,19,8
8,0811900000,2024,19,9
8,0812100000,2024,19,2
8,0812300000,2024,19,174
8,0812500000,2024,19,3
9,0900104720,2024,56,5
9,0900108070,2024,56,24
9,0900108980,2024,56,2
9,0900118500,2024,56,7
9,0900118850,2024,56,6
9,0900123890,2024,56,1
9,0900126620,2024,56,10
9,0900133620,2024,56,12
9,0900148620,2024,56,4
9,0900150580,2024,56,3
9,0900150860,2024,56,2
9,0900152980,2024,56,6
9,0900156060,2024,56,13
9,0900163480,2024,56,2
9,0900163970,2024,56,4
9,0900168170,2024,56,5
9,0900168310,2024,56,1
9,0900173070,2024,56,22
9,0900174190,2024,56,13
9,0900177200,2024,56,5
9,0900183430,2024,56,2
9,0900183500,2024,56,7
9,0900186370,2024,56,3
9,0900302060,2024,56,3
9,0900304300,2024,56,5
9,0900305910,2024,56,5
9,0900308490,2024,56,9
9,0900310100,2024,56,1
9,0900312270,2024,56,1
9,0900322070,2024,56,1
9,0900322630,2024,56,7
9,0900324800,2024,56,3
9,0900325990,2024,56,7
9,0900327600,2024,56,7
9,0900331240,2024,56,7
9,0900332640,2024,56,1
9,0900337070,2024,56,24
9,0900337140,2024,56,1
9,0900344700,2024,56,8
9,0900345820,2024,56,1
9,0900350440,2024,56,17
9,0900352140,2024,56,8
9,0900360120,2024,56,4
9,0900365370,2024,56,3
9,0900368940,2024,56,4
9,0900370550,2024,56,11
9,0900371390,2024,56,5
9,0900374540,2024,56,1
9,0900382590,2024,56,9
9,0900384900,2024,56,6
9,0900387000,2024,56,2
9,0900387070,2024,56,7
9,0900502760,2024,56,1
9,0900504930,2024,56,1
9,0900508210,2024,56,1
9,0900510940,2024,56,1
9,0900516050,2024,56,1
9,0900517240,2024,56,1
9,0900532290,2024,56,2
9,0900537280,2024,56,2
9,0900540290,2024,56,1
9,0900543370,2024,56,4
9,0900549460,2024,56,1
9,0900551350,2024,56,2
9,0900552630,2024,56,7
9,0900553470,2024,56,1
9,0900554030,2024,56,1
9,0900560750,2024,56,1
9,0900565930,2024,56,1
9,0900566420,2024,56,1
9,0900567960,2024,56,1
9,0900575730,2024,56,1
9,0900576570,2024,56,8
9,0900579510,2024,56,1
9,0900579720,2024,56,1
9,0900580490,2024,56,4
9,0900586440,2024,56,1
9,0900587910,2024,56,2
9,0900714300,2024,56,1
9,0900715350,2024,56,1
9,0900718080,2024,56,1
9,0900719130,2024,56,1
9,0900720810,2024,56,3
9,0900722280,2024,56,1
9,0900722490,2024,56,1
9,0900726270,2024,56,1
9,0900735230,2024,56,3
9,0900740710,2024,56,1
9,0900747080,2024,56,1
9,0900747360,2024,56,14
9,0900757320,2024,56,2
9,0900761800,2024,56,1
9,0900781680,2024,56,2
9,0900901220,2024,56,7
9,0900903250,2024,56,1
9,0900904580,2024,56,1
9,0900907310,2024,56,7
9,0900914160,2024,56,8
9,0900919550,2024,56,4
9,0900922910,2024,56,8
9,0900934950,2024,56,5
9,0900935650,2024,56,13
9,0900944560,2024,56,2
9,0900946520,2024,56,13
9,0900946940,2024,56,2
9,0900947535,2024,56,9
9,0900949950,2024,56,9
9,0900952070,2024,56,40
9,0900953890,2024,56,2
